fen,score
8/3B4/p2p1p2/4p2k/1p2P2P/2rP4/3K4/8 w - - 6 53,-805.0
r4rk1/pppn1ppp/5n2/2b1pb2/8/NQPq1PP1/PP1PN1BP/R1B1K2R w KQ - 7 10,-304.0
rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,54.0
r1bqk2r/pp3ppp/3Pp1n1/3p4/8/1P6/P1P1BPPP/RN1Q1RK1 b kq - 0 12,153.0
r1b1r2k/pp1p2pp/5q2/2pQ4/2P5/2N5/PP2B1PP/R1B1K2R w KQ - 2 17,688.0
r4rk1/p3qpp1/2p2n1p/n3p3/Bb3Bb1/2NQ1N2/PPP3PP/2KR3R w - - 0 15,-142.0
2r1br2/1p3p2/4pk2/3p4/p7/3BP3/2P2P2/3K4 w - - 1 31,-1424.0
rnbqkb1r/pp2pppp/2pp4/4P3/3P4/5N2/PPP2KPP/RNBQ1B1R b kq - 0 6,-345.0
r4rk1/pp2bpp1/1qn2n1p/1B1ppb2/7B/2P1PN1P/PP3PP1/R2QK2R w KQ - 4 13,-516.0
8/8/1K6/p3k3/8/1P6/8/8 w - - 2 73,20000.0
rn1q1rk1/pp2nppp/8/2bpPp2/8/2N2N2/PPP2PPP/R1BQK2R w KQ - 4 9,16.0
rnbqkbnr/pp1ppppp/8/8/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,-21.0
8/5pk1/1q2p1p1/7p/3PPP1P/1P1Q2P1/5K2/8 w - - 1 36,327.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,36.0
2kr2r1/3b1B2/7p/1p2Bpp1/p1p1p3/b1P4P/2K2PP1/3R3R b - - 5 29,380.0
rnbqkb1r/ppp2ppp/4pn2/3p4/5P2/1P4P1/PBPPP2P/RN1QKBNR b KQkq - 2 4,21.0
2r1r1k1/2p2pp1/5n1p/2P5/3PnP2/P3P3/4QP1P/R3R2K b - - 2 24,-537.0
r1bq1rk1/1p3ppp/2n2n2/2bp4/p4P2/P1N2N1P/1PPBB1P1/R2QK2R b KQ - 0 11,430.0
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 1 3,33.0
rnbqkb1r/ppp2ppp/3ppn2/8/4P3/3P4/PPPN1PPP/R1BQKBNR w KQkq - 2 4,29.0
r1bqk1nr/pppp1ppp/2n5/2b1p3/4P3/3B1N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,5.0
r1bq1rk1/pppp2pp/5P2/8/1nP1Q1n1/5N1P/PP1NPPP1/R3KB1R b KQ - 0 10,-112.0
r6r/pppk1ppp/2q2n2/5Q2/3B4/1P1P1PP1/P1P4P/RN4K1 b - - 6 19,81.0
r2qk2r/1pp2pp1/p1n2b1p/3p1b2/3P4/P1N1PN1P/1P3PP1/R2QKB1R w KQkq - 0 11,21.0
r1bq1rk1/ppp1bppp/3p1n2/4P3/2P2B2/2N2N2/PPP3PP/R2Q1RK1 b - - 0 10,63.0
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,44.0
1R6/8/8/1b6/p1kPp3/6P1/2N3PK/8 w - - 6 48,737.0
rn1qkbnr/pbpp1ppp/1p6/4p3/3PPP2/8/PPP3PP/RNBQKBNR w KQkq - 1 4,126.0
2q1kr2/8/p3P3/2Np1nQ1/3P4/P5p1/1P2RPP1/6K1 b - - 2 35,-591.0
r1bqkbnr/pppp1ppp/2n5/4p3/1P2P3/8/P1PP1PPP/RNBQKBNR w KQkq - 1 3,-17.0
3r3k/p5pp/1p4p1/8/PP1nB1P1/1K5P/3b4/8 w - - 6 36,-857.0
r1b1k2r/3q2pp/p7/1p1npp2/1b6/3P1N2/B1PBNPPP/R2QK2R b KQkq - 1 17,-449.0
8/pp6/5k2/3p1p2/3P1Pbp/1P6/P5K1/8 w - - 0 52,-1106.0
rnbqkbnr/pp1ppppp/8/2p5/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2,-7.0
8/6p1/3q1pkp/PQ1p4/8/6PP/5P1K/8 b - - 0 45,-410.0
2k2r2/p1pr4/2p2q2/5n1p/4pNP1/N1PpP3/PP1Q1PP1/2KR3R w - - 0 23,701.0
rnbqkbnr/ppp3pp/3P4/8/8/5p2/PPPP2PP/RNBQKB1R w KQkq - 0 6,-401.0
r2qkb1r/pQp1pppp/7n/2pp4/3P1P2/BP2P3/P1b3PP/RN2K1NR w KQkq - 2 11,556.0
r2q1rk1/1p2ppbp/2bp2p1/p7/4PP2/PBN1Q2P/1PP3P1/2KR3R b - - 0 16,164.0
rn3rk1/pbp1bppp/1p3n2/4q3/8/1PP5/PBQNN1PP/R3KB1R b KQ - 1 13,492.0
2kr1bnr/ppp2ppp/2n5/8/4b3/2P2N1P/PPK2PP1/RNB2B1R w - - 0 12,-234.0
rnbqkbnr/ppp3pp/4pp2/3pP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,100.0
6k1/1p1q2p1/p2p1pQp/2pP1P1P/2P5/1r1P2R1/6PK/8 b - - 1 29,274.0
r4br1/pp1nk2p/1qp5/3p3Q/7P/1P2P3/P1PP3P/RNB4K b - - 0 18,541.0
rnbq1rk1/p1pp1ppp/1p2pn2/8/2PP4/P4NP1/1P1QPP1P/R1B1KB1R b KQ - 0 7,-16.0
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,28.0
5r2/p1p5/1p2pP2/6P1/PP1k3P/8/2p3K1/5R2 b - - 1 40,-331.0
1k1rn3/pp3p1p/2qp4/3p1P2/P5P1/2QB3P/1PP5/R5K1 w - - 1 27,282.0
r2q1rk1/pppn2pp/3p1bn1/3Pp3/4Pp2/1PNQ4/PBP1NPPP/R4RK1 b - - 4 12,32.0
2r2rk1/1q2bppp/4p3/R1Pp1P2/1P1P4/2Q5/3B2PP/5RK1 w - - 5 26,384.0
3q1k2/5p2/p2bppp1/1p6/3P2P1/P3P2r/1P2BP2/2Q2RK1 w - - 0 24,-24.0
rnb1kbnr/ppp2ppp/8/4p3/4P3/8/PPPN1PPP/R1BK1BNR b kq - 1 5,4.0
3r2r1/p4k2/p1p1pp1p/1b3p2/1P1P3N/2P1R1P1/3K1PP1/7R w - - 2 27,-4.0
r4rk1/pb3p1p/1p3n1q/2b1R1p1/8/1P1B1N1P/P1Q2PP1/R1B3K1 w - - 0 23,698.0
b2qk2r/p4ppp/2n1pn2/3p4/RP1P4/2P1P3/5PPP/1NB1K1NR w Kk - 3 14,-464.0
r3r1k1/1p2bpp1/pqp1bn1p/3p4/N2P3B/PP3B1P/2P2PP1/R2QR1K1 b - - 2 17,0.0
