fen,score
rn1q1bnr/pb1k4/3p4/3N4/1pP2pB1/4N3/PPPB1PPP/R2Q1RK1 b - - 1 15,686.0
2kr3r/ppp2ppp/3bq3/3pN3/3Pn3/1P2PN1P/P4PP1/R1B2RK1 w - - 1 17,-594.0
7k/1p3p2/3b3p/p2N1P2/P6P/1P6/2P1r1K1/8 w - - 2 42,-574.0
r4rk1/p1p2ppp/1pp5/3nP3/5N2/3P2qP/PP1Q2P1/R3R2K w - - 1 19,-74.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,36.0
8/3r4/4p2p/4kp2/2R5/5K1P/6P1/8 w - - 0 41,-26.0
rnbqkb1r/pppppppp/8/8/2B1n3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,-96.0
rq4k1/6b1/p3P3/1p1p3Q/3P3P/P7/5PP1/2R2RK1 b - - 0 36,621.0
rnbqkbnr/pppppp1p/6p1/8/8/6PB/PPPPPP1P/RNBQK1NR b KQkq - 1 2,-2.0
1r3rk1/p1p1qpp1/2ppbn1p/2b1p3/N3P2B/1P1P1N1P/P1P2PP1/R2Q1RK1 b - - 2 12,57.0
r3k2r/2p3p1/p2p1b2/1p1P1Q2/8/3P3P/PPP3P1/6K1 b - - 0 25,-718.0
r4rk1/1pp2ppp/p1nbp1q1/3p4/1P1P4/P1N1PN1P/2P2PP1/R2Q1RK1 b - - 0 12,-5.0
8/8/8/8/2K2k2/4R3/8/3r4 w - - 2 53,-32.0
2kr3r/pp1n1ppp/3p2q1/8/PPP1n1b1/5N2/4BPPP/R1BQR1K1 w - - 0 17,191.0
1r4B1/1b4R1/p6Q/1p6/1P2P1Pk/3PK2P/8/R7 b - - 0 32,987.0
rnbq2k1/1ppp2bp/3np1pB/8/p2P4/2PB1r2/PP1Q1PPP/RN3RK1 w - - 0 12,77.0
8/5p2/4p3/1p2Pkp1/p3r3/P1B3K1/1P6/8 b - - 3 39,-661.0
r1bqr1k1/ppbp1ppp/2n5/1N6/2P1n3/5N2/PPQ2PPP/R1B2RK1 b - - 3 13,-340.0
7r/pbN2p2/6k1/3p2p1/3N4/6B1/PPP2PP1/R4RK1 w - - 0 24,750.0
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,70.0
2r3k1/5ppp/p4b2/3nB3/1P4P1/P1P2P2/7P/4R1K1 b - - 4 30,-290.0
3qk2r/p1p2ppp/2p2n2/8/1b2p3/2N1P1NP/PrPB1P1P/R3K2R w KQk - 2 15,-500.0
4rrk1/p1p1np1p/bp2p1p1/1q2N3/3PB3/P3P2P/1PQ2PP1/2R1K2R w K - 6 21,142.0
rn1qkbnr/pbpppppp/1p6/7P/8/8/PPPPPPP1/RNBQKBNR w KQkq - 1 3,-41.0
r3r3/4P1pp/pkp3p1/R1N5/1P6/7P/5PP1/4R1K1 b - - 0 32,536.0
rn2k3/pp2p1b1/2q1bnp1/2p5/8/3PBP2/PPP3PP/RN1QR1K1 w q - 1 14,-51.0
6k1/1rK3p1/1R6/2p5/1p3P2/4P2p/8/8 w - - 0 40,-47.0
2kr4/1p2rB2/p1p3p1/P6p/K3p3/4n3/6PP/8 b - - 1 36,-932.0
5rk1/3n1pp1/q3p2p/4P3/1P1P4/P1n5/5PBP/R1B1K2R w KQ - 1 22,-453.0
1r3rk1/p1p2pbp/1p2qnp1/4p3/8/1PP1N1P1/PB2PPBP/R2Q1RK1 b - - 6 15,446.0
Q4R2/3q2pk/p3p2p/1p2P3/rP6/7P/6PK/3q4 b - - 1 41,-127.0
2r2rk1/pQp3p1/7p/3P4/8/8/PPP2PPP/2K1R2R b - - 2 20,778.0
rnb1kbnr/1pqp1ppp/p3p3/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 2 6,19.0
4rrk1/pb1n2q1/1p6/3p4/3Pp2N/7Q/PPP3PP/3R1RK1 b - - 1 24,-177.0
r1bq1rk1/ppp1bppp/2n1p3/3p4/3P1B2/P1PBPN2/2P2PPP/R2QK2R b KQ - 0 9,19.0
r1bqk2r/ppp2pbp/3p1np1/4p3/3P4/BPN1P1P1/P1P2P1P/R2QK1NR w KQkq - 1 9,-55.0
r3r1k1/pp1n1ppp/2p5/2B5/3PPq2/1QKB4/PP1N4/5R2 b - - 7 28,77.0
8/pp3k2/2p3p1/3p1p2/5P2/PK1R4/1P3r2/8 w - - 0 33,-521.0
r2q1rk1/pp2p1Bp/3p1np1/n1p5/2PPP3/2N4P/PP1QBP2/R3K2R b KQ - 0 13,78.0
rnbqk2r/ppp1bppp/4p3/2n1P3/8/3BBP2/PP2N1PP/RN1Q1RK1 b kq - 1 12,-285.0
8/p4k2/2R5/1p1R4/7P/P7/1PP2rr1/2K5 w - - 4 39,334.0
r5k1/p4rpp/1p2bb2/2p1p3/4P3/1P1RBP2/P1P3PP/2K4R w - - 0 18,-372.0
8/P7/2n5/1Nk5/P1pp4/4K1P1/8/8 w - - 0 54,188.0
r4b1r/pppqk1pp/5p1n/3Pp3/8/2N2N2/PPP2PPP/R2QR1K1 b - - 3 12,37.0
8/6p1/7k/1Q6/P5p1/6R1/6P1/6K1 w - - 0 49,627.0
Q1kr1b1r/1pp1qppp/3p4/3P4/6b1/3B4/PPP2PPP/R1B2RK1 b - - 2 12,486.0
r1b2rk1/1p1p1ppp/5n2/1P6/p1BP4/5P2/3B2PP/R4RK1 b - - 3 21,-43.0
2Nq4/2Qbk1p1/B1p1pr2/3p4/8/8/P1r2PPP/R4RK1 b - - 3 25,431.0
rnb1kbnr/1pqp1ppp/p3p3/2p5/2N1P3/2PP1NP1/PP3P1P/R1BQKB1R b KQkq - 0 7,77.0
r2qkbnr/ppp2ppp/2n5/3pp3/3P4/2N2P1P/PPP2PP1/R1BQKB1R w KQkq - 0 6,117.0
4K3/8/5P2/4p3/1b2r3/8/1k6/8 w - - 0 61,-420.0
1n1q1rk1/1bp2pbp/1p2p1p1/8/r6P/1P1P1PP1/PBP1Q3/2KR2NR w - - 0 15,49.0
r4rk1/pppb1ppp/2n1pq2/1B6/3P4/5N2/PPP2PPP/R2Q1RK1 w - - 6 11,15.0
4k2r/1ppq1ppp/3b1n2/3p4/8/2P1PN1P/5PP1/1N1QK2R w Kk - 2 16,-180.0
r2qk2r/bbp1n1pp/p1np1p2/1p1Bp3/4P2B/2NP1N2/PPP2PPP/R2QK2R w KQkq - 2 11,-77.0
1r4k1/4R1pp/5r1q/p1Pp1p2/bP1p4/P2B2P1/1K2Q2P/R7 w - - 0 33,112.0
1r3k2/1pR5/8/8/8/3P4/6PP/1q4K1 w - - 0 38,-556.0
r2qk2r/pp3ppp/2n1pn2/2bp1b2/8/2P2NP1/PP1NPPBP/R1BQ1RK1 b kq - 1 8,-25.0
r3qr1k/p5pp/1p3p2/3Q4/8/5N2/PPP2PPP/2K4R b - - 0 19,-266.0
5rk1/5ppp/5n2/np1Bp3/3pP3/P4Q1P/2q2PP1/RR4K1 w - - 3 29,219.0
rnbq1rk1/ppp1bpp1/5n1p/3p4/3P1P2/2NB1N2/PPP3PP/R1BQK2R w KQ - 0 8,-15.0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,5.0
rnbqk2r/ppp2ppp/4pn2/8/2BP4/4PN2/PP1Q1PPP/RN2K2R b KQkq - 0 7,71.0
rnbqkb1r/ppp2ppp/5n2/3p4/3P4/3B4/PPP2PPP/RNBQK1NR w KQkq - 2 5,8.0
2r3k1/1p2r2p/p3p1p1/1b1P1p2/5B2/1P1P2P1/P4PBP/4N1K1 b - - 0 25,-298.0
r4rk1/p4ppp/1p6/2p1R3/3n4/1P1n4/P2N1PPP/4R1K1 b - - 0 20,-630.0
rn3rk1/3q1ppp/b2N1n2/2p1p3/4P3/PB1P1N2/1P4PP/R1BQ1RK1 b - - 0 17,121.0
r3r1k1/2p2pp1/1qpb2bp/p3p1N1/P7/1PB2Q2/2PP1PPP/4RRK1 w - - 0 17,-13.0
2rr2k1/pp3ppp/5n2/2P5/q2p3P/P3B1P1/2P2P2/R1Q2RK1 w - - 0 19,-118.0
r2qr1k1/ppp3pp/3b4/5pNn/1PP5/P2P3P/5PP1/R1BQ1RK1 b - - 1 16,147.0
r3k2r/p1pqbpp1/1p2pn1p/3p4/3P4/P1P1P1BP/1P3PP1/R2QKN1R b KQkq - 0 15,-6.0
5kR1/pp2r3/1b2P2R/8/8/6PP/PP4PK/8 b - - 0 32,-16.0
r6N/pp2kBpp/2p5/4pb2/1K1n3b/1PP5/P3q1PP/RNB4R b - - 3 20,-822.0
5r2/ppp2pk1/3r3p/8/2Bn4/2P4P/PP3RP1/2R3K1 b - - 0 24,43.0
6k1/1p5p/p4p2/5p2/P4P2/3p1PPP/3Kb3/8 b - - 1 37,-473.0
rnbqk1nr/pppp1ppp/8/2b1p3/8/6P1/PPPPPPBP/RNBQK1NR w KQkq - 2 3,-12.0
5r1k/ppq4n/2p2p2/2bp4/6Q1/PB1P2PP/1PP2R1K/RN2r3 b - - 0 23,-535.0
8/8/8/1p5k/3KR1p1/P4q2/8/8 w - - 4 66,479.0
8/1kp3p1/1p3b1p/p2r4/r3p3/5qP1/5P1P/4RRK1 b - - 2 41,-720.0
r2qk2r/pb2ppbp/1pn3pn/4P3/3P4/2N2N2/PP2B1PP/R1BQ1RK1 b kq - 2 11,14.0
5k2/5p1p/4pPp1/3rP1K1/3q4/8/7P/8 b - - 5 45,-701.0
6r1/p7/kp1p3p/6r1/4nR2/8/PPP1NP1P/R4K2 b - - 8 30,90.0
5rk1/Q1pb1p2/4nq1p/8/1b6/6P1/PP1NPPBP/R3K1NR b KQ - 4 15,-298.0
4r3/1p4k1/p3bbpp/3p1p1P/Pq6/3B1N2/5PP1/4RQK1 w - - 1 33,-129.0
8/R4p2/8/3b3p/6kP/1P6/P4K2/8 w - - 1 42,703.0
r2qkbnr/p2ppppp/np6/2p5/3PP3/N7/PPP2PPP/R1BQK1NR w KQkq - 0 5,112.0
r1b2rk1/pp4b1/1n1p2pp/3Pp3/5P1q/1BN4P/PP1B2P1/R2Q1RK1 b - - 0 17,-11.0
r2qk2r/p3bpp1/2pp1n1p/nB2p3/6P1/P2P3P/1PP2P2/R1BQK1NR w KQkq - 0 12,-32.0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,5.0
8/3P1Q2/2k5/8/8/2P5/1P6/r1KR4 w - - 1 43,397.0
8/5pkp/6p1/6P1/2rr4/5K2/1Q6/8 b - - 3 78,-324.0
3q1rk1/1p3pp1/1b1p4/5b1p/1n2n3/4PN1P/2PNBPP1/B2Q1RK1 w - - 2 16,123.0
1rb1k2r/2pqbppp/p1np1n2/1p2p1B1/4P3/2PP1NP1/PP1NQPBP/R3K2R w KQk - 3 10,26.0
rn2nrk1/1pq2p2/p2b2p1/2pPp1Pp/4P2N/2NBB2b/PPP2Q2/2KR2R1 b - - 1 19,100.0
1k1r4/1pQ2p1r/p3p2p/1q1BN3/R2P3P/1b2P1P1/5P2/2R3K1 b - - 0 25,592.0
